# Look at all meetups in the Tech category within 25 miles of New York NY
# There are 1452 of these.
# Of these, select those that have at least 1000 members, have at least one past meetup
# and that meetup has a publically available address.
#
" TechSocially ",574
"Holistic Wellness NYC - Outdoor|| Yoga|| Hiking|| Mind|| Body",3162,-1
"SocialTech" Startup Meetup / Drinkup NYC,177
"Yoga Society NYC - Meet Peaceful Balance",1671,-1
#140Conf: The State of Now,1514,8,135 W 50th St New York NY
#CrowdRaising: Come Play w/ New Tech,852
#Idea2MVP NYC,274
(NYAI) New York Artificial Intelligence,3004,74,43 W. 23rd Street New York NY
(NYVR) Virtual Reality NYC,5442,1,335 Madison Avenue New York NY
.seed - NYC Job Meetup for SW Engineers,582
2 301,1
2017 HPC for Wall Street - AI and Data Storage,176
360° Video Meetup,203
3D Printing + Digital Manufacturing NYC,239
3D Printing for Wearable Tech|| Performance|| and Fashion,611
54lines,31
<script>alert("Hello friend");</script>,2
A meetup with Debitum Network co-founder Martins Liberts!,21
A-Frame - NYC,66
A-Z Data Science,179
A11YNYC - Accessibility New York City,905
ABC Hoops - Indoor Pickup Basketball,1291,16,439 West 49th Street New York NY
ACM New York City,1427,13,65-30 Kissena Blvd Queens NY
ADI: Columbia University Tech,125
AI|| Machine Learning|| and Chatbot Investing Meetup,1576,-1
AIOps New York City,56
AIPAC Venture Tech,33
AITP - Association of Information Technology Professionals,452
API Craft NYC,369
ARKit - NYC,623
ARNY - Augmented Reality New York,3171,104,335 Madison Ave New York NY
AT&T NYC Research Seminar Series,762
AUDEV (NY Audience Development Meetup),66
AWS New York | Official Meetup,5034,330,315 W 36th Street New York NY
Accounting Blockchain Coalition - ABC,357
Action Design NYC,2105,87,229 W 28th New York NY
Adaam H Loves Testing Stuff,2
Adobe Global Community | New York,535
Adobe InDesign User Group of New Jersey,161
Advanced Spark and TensorFlow Meetup (New York),2065,-1
Adventures with Agile NYC,330
Advertising / Marketing Analysts,6191,157,38 W 26th St New York NY
AfriStack,262
Agile @Scale NYC,408
Agile Culture New York,258
Agile Experience Design,5584,38,101 6th Ave New York NY
Agile Leadership Network - New Jersey,76
Agile NYC,167
Agile Testing Alliance - Greater New York Chapter,92
Agile_Education_NYC,132
Aging2.0 | New York,111
Ajion Corporation Network,1
Alexa 101 at the Pratt Institute,81
Algorithmic Art (Visual & Musical) Composition,857
Algorithmic Trading Factory,242
Algorithms and Data Structures,1931,3,1335 Avenue of the Americas New York NY
All Day DevOps - New York City,192
Alliance for Girls in STEM,171
Alumni Talent @ GA NYC,23
Amateur Computer Group of New Jersey (ACGNJ),447
Amazon Engineering NYC Tech,778
Amazon Professional Sellers Meetup & Workshop,185
Analytics & Data Science by Dataiku NY,1997,377,902 Broadway New York NY
Android NYC,1425,-1
Android Users Meetup,78
Angular NYC,7072,324,86 9th Avenue New York NY
Another Reality ARcade and ARt Show,847
Ansible NYC,631
AnthroTech: Anthropology in Technology,757
Anyone Can Learn To Code NYC,501
Apache Kafka NYC,775
App Builders and Digital Marketing Professionals Meetup,511
AppD Summit New York City - October 19,35
Appium New York,260
Appthology,120
Archivers,32
Arista Networks NYC Area Group,466
Art & Tech Collective,1292,49,197 Liberty St Bloomfield NJ
Art + Market + Technology: Education & Networking,216
Article 78 Against NYDFS Bitcoin Bitlicense,118
Artificial Intelligence Development (a FirstMark Event),1996,-1
Artificial Intelligence In Finance,621
Artificial Intelligence In Medical Imaging,60
Artificial Intelligence NYC,1427,-1
Astoria Makers and Hackers,109
Atlassian User Group NYC,177
Audio First,199
Automated Regression Test MUG,2
Automation 26.3,1
Automation One,239
Automation Twenty,1
Automation-25,6
Automation-Ten,5
Axure Meetup NYC,297
Azure Certification Meetup,106
B&H Tech Talks,63
BK Tech Talks,863
BK.js,739
BLOCKCHAIN AND REAL ESTATE,70
BTCBrooklyn,141
Balanced Team NY,600
Bayesian Data Analysis,1329,29,75 9th Ave New York NY
Beginner Programmers,9814,-1
Beginner Web Developer, Digital Marketer,347
Bereisheet Tech,812
Bergen County Friends,647
Bergen County Motion Graphics Meetup,20
Bergen County NJ JavaScript Meetup Group,45
Bergen Makerspace,1614,8,190 Hackensack Ave Hackensack NJ
Beta Theta Pi New York City Alumni,129
BeyondCorpNYC,112
Big Data (Next Gen Hadoop) Ingest & Transform, Edison,524
Big Data (native Hadoop) Ingest & Transform, New York,1799,2,811 7th Avenue New York NY
Big Data Developers in NYC,3649,10,137 Varick Street New York NY
Big Data Genomics NYC,834
Big Data Hadoop Ingest Transform Apex New York Online,785
Big Data Warehousing,4696,-1
Big Data for Small Business,177
Big Data|| NYC,202
Big Human Speaker Series,179
Big On Data,2511,1,1605 Broadway New York NY
