#140Conf: The State of Now,1514,8,135 W 50th St New York NY
(NYAI) New York Artificial Intelligence,3004,74,43 W. 23rd Street New York NY
(NYVR) Virtual Reality NYC,5442,1,335 Madison Avenue New York NY
ABC Hoops - Indoor Pickup Basketball,1291,16,439 West 49th Street New York NY
ACM New York City,1427,13,65-30 Kissena Blvd Queens NY
ARNY - Augmented Reality New York,3171,104,335 Madison Ave New York NY
AWS New York | Official Meetup,5034,330,315 W 36th Street New York NY
Action Design NYC,2105,87,229 W 28th New York NY
Advertising / Marketing Analysts,6191,157,38 W 26th St New York NY
Agile Experience Design,5584,38,101 6th Ave New York NY
Algorithms and Data Structures,1931,3,1335 Avenue of the Americas New York NY
Analytics & Data Science by Dataiku NY,1997,377,902 Broadway New York NY
Angular NYC,7072,324,86 9th Avenue New York NY
Art & Tech Collective,1292,49,197 Liberty St Bloomfield NJ
Bayesian Data Analysis,1329,29,75 9th Ave New York NY
Bergen Makerspace,1614,8,190 Hackensack Ave Hackensack NJ
Big Data (native Hadoop) Ingest & Transform, New York,1799,2,811 7th Avenue New York NY
Big Data Developers in NYC,3649,10,137 Varick Street New York NY
Big On Data,2511,1,1605 Broadway New York NY
BitDevs NYC,3064,197,303 Spring Street New York NY
Black Technology Professionals - BTP NY,2015,4,641 West 50th New York NY
Blockmatics,1024,1,315 Hudson Street New York NY
BlueWaterLabs NYC,1316,9,40 Rector Street New York NY
Brooklyn Futurist Meetup,5044,200,205 State Street Brooklyn NY
Brooklyn Tech Meetup,3132,23,355A Bowery New York NY
Byte Academy: Python|| FinTech|| Blockchain||DataSci|| Quant,4478,4,295 Madison Ave New York NY
CSNYC + CSTA-NYC,2147,135,11 Times Square New York NY
CSS Layout Club NYC,1185,217,1384 Broadway New York NY
Central NJ Design Meetup,1018,38,414 Raritan Avenue Highland Park NJ
Chef-NYC (for users of Chef),1028,17,110 William St New York NY
Clojure NYC,1466,67,55 Water Street New York NY
CocoaPods NYC,1026,32,401 Broadway New York, NY
Cognitive Artificial Intelligence Meetup (#CAIM),1377,203,625 6th Ave New York NY
Columbia Data Science Institute,2196,17,530 West 120th Street New York NY
Community Managers Meetup,1838,1,1535 Broadway New York NY
Content Strategy NYC,3344,123,45 Main Street Brooklyn NY
Continuous Delivery : NYC,3268,46,99 Madison Ave New York NY
Crypto 2020,1105,272,122 West 26th Street New York NY
Daily News Innovation Lab,1271,47,11 Times Square New York NY
Data Driven NYC (a FirstMark Event),14591,531,731 Lexington Ave New York NY
Data Science New York,1713,24,1216 Broadway New York NY
Data Science and Machine Learning • ProgramWithUs.com,2825,3,49 W 33rd Street New York NY
Data Skeptics,4179,110,315 Hudson Street New York NY
Data Technology Training,1544,6,121 Newark Avenue Jersey City NJ
Deep Learning NYC,1054,74,220 5th Ave New York NY
Design & Prototype NYC Meetup,2714,10,137 W 25th Street New York NY
Design First,1288,137,115 W 18th Street New York NY
Dev Bootcamp NYC Events and Workshops,4125,3,48 Wall Street New York NY
Disruptive Technologists in NYC,2150,300,11 Times Square New York NY
Drupal NYC,1749,96,30 Rockefeller Center New York NY
